rent	condominium	iptu	adress	area	room	car_space	bathroom	description	link
2480	826	170	Rua Dona Josefina Sarmento, Cambuí	60	2	2	3	Apartamento para Locação no Cambuí em Campinas. Amplo living com sacada, lavabo, 2 suítes com armários embutidos. Cozinha planejada, área de serviço conjugada. 2 garagens. Prédio c...	
1100	275	21	Rua Doutor Geraldo Mendonça de Barros Filho, Loteamento Parque São Martinho	43	2	1	1	Apartamento para Aluguel - Parque das Águas, 2 Quartos, 43 - Campinas	
1280			Rua Dona Elídia Ana de Campos, Taquaral	50	1	1	1	Casa para Aluguel - Taquaral, 1 Quarto, 50 - Campinas	
3500	582	213	Rua Luiz Otávio, Mansões Santo Antônio	74	2	2	2	Apartamento para locação no Mansões Santo Antônio - Campinas.Conta com 2 suítes com armários planejados, sala ampla para 2 ambientes, cozinha planejada, área de serviço, sacada...	
12000	500	555	Swiss Park, Campinas	302	5	4	6	Casa sobrado nova (5 meses) em um dos melhores residenciais do Swiss Park acabamento alta qualidade, 5 suítes sendo casal com closet todas com armários, banheiros com armários espe...	
2700	626	154	Rua Hermantino Coelho, Mansões Santo Antônio	133	3	3	3	Excelente cobertura em Mansões Santo Antônio, Oportunidade, impecável, excelente localização próximo as faculdades e centro comercial, fácil acesso as principais rodovias e ao cent...	
1600	350	100	Avenida Imperatriz Leopoldina, Vila Nova	58	2	1	2	Apartamento Com 02 Quartos Sendo 01 Suíte - Residencial Jardins Do Taquaral!Venha morar em uma região privilegiada de Campinas, próximo a Lagoa do Taquaral.O apartament...	
1970	59266		Avenida Orosimbo Maia, Centro	41	0	2	1	Excelente sala em prédio novo na Av. Orozimbo Maia. Andar alto. Varanda. 41m², 1 banheiro, 2 vagas. Podendo ser unificada a outra sala de 43m², 1 banheiro, 2 vagas. Criar Soluções...	
2200		182	Jardim Flamboyant, Campinas	143	3	2	2	Casa residencial ou comercial para locação, parte superior, reformada, clara e arejada, com 3 dormitórios com armários sendo 1 suíte, banheiro social, copa, cozinha, sala de estar...	
2415	660	190	Rodovia Visconde de Porto Seguro, Parque Prado	82	3	2	2	Apartamento para Aluguel - Parque Prado, 3 Quartos, 82 - Campinas	
1800		371	Barão Geraldo, Campinas	281	0	0	0	Terreno plano com 281,80 m² localização ótima no bairro de Barão Geraldo em uma região com comercio variado e acesso fácil a rodovia Dom Pedro, Paulínia e próximo da Unicamp. Excel...	
2500		209	Jardim Nova Europa, Campinas	269	0	0	0	Excelente terreno de esquina no Jardim Nova Europa, medindo 269,50m², totalmente plano, localizado em avenida de grande fluxo de pessoas com destino aos Bairros Parque Prado, Swiss...	
2400		230	Avenida Paulo de Camargo Moraes, Jardim Novo Campos Elíseos	90	2	4	2	Casa para Aluguel - Campos Elíseos, 2 Quartos, 90 - Campinas	
2900		243	Rua Cônego Manoel Garcia, Jardim Chapadão	250	3	4	4	EXCELENTE CASA EM ÓTIMA LOCALIZAÇÃO, POSSUI 03 DORMITÓRIOS SENDO 01 SUÍTE, LIVING PARA 02 AMBIENTES, SALA DE JANTAR, SALA DE ESTAR, COZINHA PLANEJADA RICA EM ARMÁRIOS, ÁREA DE SERV...	
1500	450		Rua Izabel Negrão Bertotti, Mansões Santo Antônio	60	2	1	1	Apartamento para Aluguel - Mansões Santo Antônio, 2 Quartos, 60 - Campinas	
2700		251	Jardim Chapadão, Campinas	230	0	1	2	Sala comercial no pavimento superior com 220 m² de área útil, piso nivelado e pintado em epóxi, copa, 2 banheiros sendo um masculino e outro feminino, 1 vaga de garagem descoberta...	
2240		1300	Rua Lauro Vannucci, Mansões Santo Antônio	200	2	5	2	Casa para Aluguel - Mansões Santo Antônio, 2 Quartos, 200 - Campinas	
1100	421	75	Swift, Campinas	60	2	1	2	Ótimo apto, próximo Unip, São Leopoldo Mandique, extra abolição, 2 dormitórios 1 com armários embutidos, sala visita 2 ambientes, todo carpete de madeira claro, banheiro social com...	
2600	830	180	Jardim Brasil, Campinas	115	3	2	3	Condomínio Village GuanabaraApartamento de 3 dormitórios, sendo um com suíte e sacada, rico em AE, sala dois ambientes com sacada, 3 banheiros, andar baixo, com vista para...	
1250	250	295	Chácara da Barra, Campinas	77	2	1	2	Amplo apartamento com 2 dormitórios com armários embutidos, 2 banheiros, sala e cozinha grande, lavanderia, todo reformado com 1 vaga de garagem. Excelente localização, próximo a c...	
2800	57354	128	Avenida José Rocha Bomfim, Loteamento Center Santa Genebra	35	0	1	1	Excelente condomínio empresarial. Loja para locação localizada na praça de alimentação, pronta e decorada, wc, 1 vaga de garagem. Segurança 24 horas e estacionamento multipark. *Os...	
2700	875	81	Rua Padre José Teixeira, Cambuí	61	2	2	2	Apartamento para locação no Cambuí em Campinas. Imóvel diferenciado, localização privilegiada, living para 2 ambientes integrado a varando com churrasqueira, 2 dormitórios sendo 1...	
1500	630	300	Bosque, Campinas	78	2	1	2	Apartamento de 2 dormitórios para locação, em ótima localização no Bosque, rico em armários, banheiro social com box e gabinete, ampla sala com persiana para 2 ambientes, cozinha p...	
